title,year,best_with,recommended_with,avg_rating,no_ratings,bgg_rank,id
Unlock!: Escape Adventures,2017,Best with 2 players,Recommended with 1–4 players,7.34782,6632,Not Ranked,213460
Unlock! Kids: Detective Stories,2021,Best with 2 players,Recommended with 1–2 players,7.70719,979,2090,327056
"Unmatched: Battle of Legends, Volume One",2019,Best with 2 players,"Recommended with 2, 4 players",7.72162,9579,265,274637
Unmatched: Brains and Brawn,2023,Best with 2 players,Recommended with 2–3 players,8.32425,651,2477,383467
War Chest,2018,Best with 2 players,"Recommended with 2, 4 players",7.83936,10715,184,249259
Wavelength,2019,"Best with 6, 8 players",Recommended with 4–12 players,7.25461,14637,473,262543
World Wonders,2023,Best with 3 players,Recommended with 1–4 players,7.63143,4577,581,365258
3D Labyrinth,2002,Best with 4 players,Recommended with 4 players,5.17774,164,26281,8308
Allmoge,2024,,(no votes),8.5,3,Not Ranked,430461
Balloon Pop,2023,Best with 3 players,Recommended with 2–4 players,6.12028,180,12978,386761
Bruxelles 1897,2019,Best with 3 players,Recommended with 2–4 players,7.16698,2044,1766,275913
Century: Spice Road,2017,Best with 3–4 players,Recommended with 2–5 players,7.30006,26074,357,209685
Coffee Rush,2023,Best with 3 players,Recommended with 2–4 players,7.15078,1997,1996,377061
Dorfromantik: The Duel,2023,Best with 2 players,Recommended with 2 players,7.10526,365,5570,395364
Everdell,2018,Best with 3 players,Recommended with 1–4 players,8.01178,58271,38,199792
Gateway Island,2022,Best with 2–5 players,Recommended with 1–12 players,7.51704,366,5200,356999
Heckmeck Deluxe,2018,Best with 4 players,Recommended with 2–6 players,7.01334,841,Not Ranked,245200
Power Grid,2004,Best with 4–5 players,Recommended with 3–6 players,7.80629,66511,66,2651
HerStory,2022,Best with 3–4 players,Recommended with 2–5 players,6.7128,590,4940,369436
Horrified,2019,Best with 3 players,Recommended with 1–5 players,7.62833,17533,213,282524
Karak,2017,Best with 3–4 players,Recommended with 2–5 players,7.19387,3266,1436,241477
Monikers: Classics,2019,Best with 8–12 players,Recommended with 6–16 players,8.16561,257,Not Ranked,283151
No Thanks!,2004,Best with 4–5 players,Recommended with 3–7 players,7.07825,28112,521,12942
Port Royal: The Dice Game,2023,Best with 3 players,Recommended with 3–4 players,6.32889,139,11958,401779
Rhino Hero,2011,Best with 3 players,Recommended with 2–5 players,6.90323,11515,956,91514
Sherlock: Death on the 4th of July,2018,Best with 4 players,Recommended with 2–4 players,6.40478,964,4803,250779
The Adventures of Robin Hood,2021,Best with 2 players,Recommended with 1–4 players,7.471,4337,751,326494
Tiletum,2022,Best with 2–3 players,Recommended with 1–3 players,7.89636,5476,306,351913
Panko or Votes for Women,1910,,(no votes),0.0,0,Not Ranked,32824
